PRODUCT NAME,CATEGORY,Variant SKU,prod code,HSN CODE,GST%,ttl,MRP,DISCOUNT,SELLING RATE EXCLUDING GST,IMAGE-1,IMAGE-2,IMAGE-3,IMAGE-4,IMAGE-5,IMAGE-6,IMAGE-7,IMAGE-8,IMAGE-9,IMAGE-10,,,,,
"0093 Plastic 3 Compartment Sprout Maker, White",Kitchen,0093_sprout_maker_3_container,0093,392321,18%,309,350,5,281,https://cdn.shopify.com/s/files/1/1916/9825/products/0093.jpg?v=1617924203,https://cdn.shopify.com/s/files/1/1916/9825/products/41c3K198f9L._SL1000_014c047c-12c4-440d-b5a2-75ad73483796.jpg?v=1617771091,https://cdn.shopify.com/s/files/1/1916/9825/products/2_eccb18d8-61e3-463d-9681-be377b3f924e.jpg?v=1617771091,https://cdn.shopify.com/s/files/1/1916/9825/products/3_f14468da-1f61-438c-9645-ef46e749a2a3.jpg?v=1617771091,https://cdn.shopify.com/s/files/1/1916/9825/products/4_2beecc7e-8f8d-44c8-9fff-fca635644029.jpg?v=1617771091,https://cdn.shopify.com/s/files/1/1916/9825/products/5_1741eee7-a1ff-493d-ac4a-ba9c53b72e6c.jpg?v=1617771091,https://cdn.shopify.com/s/files/1/1916/9825/products/6_2f3c9590-6401-4f19-9d57-3acd67797509.jpg?v=1617771091,https://cdn.shopify.com/s/files/1/1916/9825/products/1_3141b1d2-7b5c-482f-9d1b-ec2d91c606ea.jpg?v=1617771091,,,,,,,
"0113 Adjustable Fridge Storage Basket, Fridge Racks Tray Sliding Storage Racks (1Pc)","Kitchen Storage, Container & Rack",0113_adjustable_rack,0113,392410,18%,210,250,0,212,https://cdn.shopify.com/s/files/1/1916/9825/products/0113.jpg?v=1620939603,https://cdn.shopify.com/s/files/1/1916/9825/products/5_850930fe-9b1d-46f4-999e-5103d80ccb39.jpg?v=1620939606,https://cdn.shopify.com/s/files/1/1916/9825/products/4_d2648813-2543-490a-9287-680ea5d71378.jpg?v=1620939607,https://cdn.shopify.com/s/files/1/1916/9825/products/3_c1724577-03e7-4532-8987-af64201512fa.jpg?v=1620939611,https://cdn.shopify.com/s/files/1/1916/9825/products/2_7ef5c658-59d7-4063-bce6-750c95acdd76.jpg?v=1620939612,https://cdn.shopify.com/s/files/1/1916/9825/products/7_1a5089bc-380f-40cc-a472-5c0daa00181b.jpg?v=1620939615,https://cdn.shopify.com/s/files/1/1916/9825/products/1_05e50855-3a29-4019-beaa-4014d3ba8a28.jpg?v=1620939617,,,,,,,,
0116 Hand Press Water Pump Dispenser,Kitchen,0116_water_dis_pump,0116,392690,5%,245,300,15,242,https://cdn.shopify.com/s/files/1/1916/9825/products/0116.jpg?v=1617924256,https://cdn.shopify.com/s/files/1/1916/9825/products/2_aace0d6e-df7f-41f4-94b3-242a994fcd7a.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/4_93c6e4db-22b9-40d7-aee9-dc8aa641c13e.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/5_79066bd7-281d-424c-85fc-9dfba7947f1c.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/23_b0e938eb-2474-48e7-b8a3-bffc3a4cc32c.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/3_15d0d8af-09a9-41cd-a5ec-0b6762172f32.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/4_6e34af2a-66f2-4871-a46c-9433c2be9b38.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/5_a5e3c207-cedf-43e1-b118-ec7c631cd497.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/2_6733e0d1-8184-43d9-afc3-0c05a770ef40.jpg?v=1617776686,https://cdn.shopify.com/s/files/1/1916/9825/products/1_d781666b-9c2d-409d-bb2a-f471eea3731d.jpg?v=1617776686,,,,,
0117 Stainless Steel Vegatable and Dry Fruit Slicer/Cutter,Kitchen,0117_dry_fruit_slicer,0117,392690,18%,231,250,5,201,https://cdn.shopify.com/s/files/1/1916/9825/products/0117.jpg?v=1617924257,https://cdn.shopify.com/s/files/1/1916/9825/products/CompactSlicer02.jpg?v=1617776837,https://cdn.shopify.com/s/files/1/1916/9825/products/CompactSlicer03.jpg?v=1617776837,https://cdn.shopify.com/s/files/1/1916/9825/products/CompactSlicer.jpg?v=1617776837,,,,,,,,,,,
"0122 Plastic Spice Jars (6 pcs, 14x22x8cm, Multicolour)","Kitchen Storage, Container & Rack",0122_g_jar_set_6pc,0122,392410,18%,267,300,5,241,https://cdn.shopify.com/s/files/1/1916/9825/products/0122_df0c034d-407a-4a43-b391-1d1c33d68827.jpg?v=1632723687,https://cdn.shopify.com/s/files/1/1916/9825/products/5_1fd0d0c3-efc2-4c6d-ad08-3f6a3c58ad1c.jpg?v=1632723687,https://cdn.shopify.com/s/files/1/1916/9825/products/2_673a77d7-942b-48df-8896-19b10857499f.jpg?v=1632723687,https://cdn.shopify.com/s/files/1/1916/9825/products/58_b00eb4aa-bb7a-444e-b65c-4c9a2bd6bb49.jpg?v=1632723687,https://cdn.shopify.com/s/files/1/1916/9825/products/4_cdb74c8e-fabd-4072-a318-05def1bed57a.jpg?v=1632723687,https://cdn.shopify.com/s/files/1/1916/9825/products/3_79f44423-84ae-4c36-84b7-e11444dbc37c.jpg?v=1632723687,https://cdn.shopify.com/s/files/1/1916/9825/products/41kjORFTx0L_52cb9fee-79f7-4f03-b517-bc4d328dafcd.jpg?v=1632723687,,,,,,,,
0132 Stainless Steel Lemon Squeezer,Kitchen,0132_steel_lemon_squeez,0132,732393,18%,231,250,5,201,https://cdn.shopify.com/s/files/1/1916/9825/products/0132.jpg?v=1617924291,https://cdn.shopify.com/s/files/1/1916/9825/products/IMG-20200703-WA0167.jpg?v=1617790396,https://cdn.shopify.com/s/files/1/1916/9825/products/0757d0b2-6f6e-4d43-abcd-1fa446a27e0c_c60de019-9b77-4a02-9d37-aa9491cfe112.jpg?v=1617790396,https://cdn.shopify.com/s/files/1/1916/9825/products/2_ff50c847-09ce-4b06-b1c4-fb56f5f67633.jpg?v=1617790396,https://cdn.shopify.com/s/files/1/1916/9825/products/3_17a8aea8-f55d-4623-ab68-1ece6da37b91.jpg?v=1617790396,https://cdn.shopify.com/s/files/1/1916/9825/products/4_1eca4e7a-cda0-46f8-96af-9fadfced0490.jpg?v=1617790396,https://cdn.shopify.com/s/files/1/1916/9825/products/5_6c8f9925-98db-4ca3-85a0-e03c2e630e00.jpg?v=1617790396,,,,,,,,
0134 Multi Crusher/Grinder/Cutter,Kitchen,0134_multi_crusher,0134,392410,18%,251,270,0,229,https://cdn.shopify.com/s/files/1/1916/9825/products/0134.jpg?v=1617924295,https://cdn.shopify.com/s/files/1/1916/9825/products/2_06ee0cb7-fb1b-4161-bf73-3f3cec8651ae.jpg?v=1617791418,https://cdn.shopify.com/s/files/1/1916/9825/products/3_932eda7d-8744-4ab8-b553-eb660f92cf8b.jpg?v=1617791418,https://cdn.shopify.com/s/files/1/1916/9825/products/4_562255a8-4f3d-4321-88e2-7593ccc14425.jpg?v=1617791418,https://cdn.shopify.com/s/files/1/1916/9825/products/5_10ede3e0-1ef7-4da7-8698-2131a27eacca.jpg?v=1617791418,https://cdn.shopify.com/s/files/1/1916/9825/products/1_2515f0e2-5cae-4d95-9e63-f090f627c55f.jpg?v=1617791418,,,,,,,,,
0143 Potato cutter/French Fried Cutter,Kitchen,0143_n_potato_cutter,0143,392410,18%,251,300,10,228,https://cdn.shopify.com/s/files/1/1916/9825/products/0143.jpg?v=1617924314,https://cdn.shopify.com/s/files/1/1916/9825/products/image_2d3a5088-3189-4a02-a9ac-3616aaae82d1.jpg?v=1617801107,https://cdn.shopify.com/s/files/1/1916/9825/products/2_563315eb-a028-4d26-8e59-3d1f18ee6798.jpg?v=1617801107,https://cdn.shopify.com/s/files/1/1916/9825/products/3_f261585e-f8cb-42a2-8696-1bec981a3d36.jpg?v=1617801107,https://cdn.shopify.com/s/files/1/1916/9825/products/Untitled-3copy.jpg?v=1617801107,,,,,,,,,,
0154 Plastic Adjustable Flame & Gas refillable Lighter (Multicolour),Kitchen,0154_refillable_gas_lighter,0154,961380,18%,254,270,0,229,https://cdn.shopify.com/s/files/1/1916/9825/products/0154.jpg?v=1617924337,https://cdn.shopify.com/s/files/1/1916/9825/products/IMG-20200704-WA0099.jpg?v=1617866836,https://cdn.shopify.com/s/files/1/1916/9825/products/1_4a009821-3149-42f6-825c-d972586bcedb.jpg?v=1617866836,https://cdn.shopify.com/s/files/1/1916/9825/products/3_adf0b497-63a4-442f-a942-41c40afcf756.jpg?v=1617866836,https://cdn.shopify.com/s/files/1/1916/9825/products/4_4636c71a-99ee-43d0-a383-e886f981398d.jpg?v=1617866836,https://cdn.shopify.com/s/files/1/1916/9825/products/5_c4838043-afa0-4c03-88e1-376c4a50e1ee.jpg?v=1617866836,https://cdn.shopify.com/s/files/1/1916/9825/products/515CSeEn2vL._SL1013_8a3f6d70-1da5-4f16-aacb-28b7ef86c341.jpg?v=1617866836,,,,,,,,
0159 Plastic Wash Basin Brush Cleaner with Liquid Soap Dispenser (Multicolour),Cleaning Supplies,0159_liquid_cleaning_brush,0159,392690,18%,221,250,5,201,https://cdn.shopify.com/s/files/1/1916/9825/products/0159_ace5cf32-213b-48ce-bdfd-f440821b3ebf.jpg?v=1622732919,https://cdn.shopify.com/s/files/1/1916/9825/products/6_e8aebb37-7e18-4567-902b-080cd525c5ba.jpg?v=1622732921,https://cdn.shopify.com/s/files/1/1916/9825/products/5_b97f0e66-cacf-492a-b898-6d1140f28914.jpg?v=1622732922,https://cdn.shopify.com/s/files/1/1916/9825/products/2_fcebdbb9-ff1b-420b-bab8-09a9b7de8979.jpg?v=1622732924,https://cdn.shopify.com/s/files/1/1916/9825/products/4_90e9682e-b54e-4abd-8549-170d649290d3.jpg?v=1622732926,https://cdn.shopify.com/s/files/1/1916/9825/products/3_b5ee7f96-d2e8-43e2-86a7-fcafc3e23faa.jpg?v=1622732927,,,,,,,,,
0194 Wire Wheel Cup Brush (Gold),Cleaning Supplies,0194_gold_brush,0194,830890,18%,242,270,5,217,https://cdn.shopify.com/s/files/1/1916/9825/products/0194.jpg?v=1618531206,https://cdn.shopify.com/s/files/1/1916/9825/products/IMG-20200715-WA0062.jpg?v=1617965652,https://cdn.shopify.com/s/files/1/1916/9825/products/51kVjXIsHPL_a4f9a533-5a0c-4a8b-9f8c-8510ab99ccee.jpg?v=1617965652,https://cdn.shopify.com/s/files/1/1916/9825/products/618eP169XIL_e13c85a1-1937-4ad1-8a01-a7744ac3d312.jpg?v=1617965652,https://cdn.shopify.com/s/files/1/1916/9825/products/2_274c63af-d4f5-447e-a9fc-6c19afd90679.jpg?v=1617965652,https://cdn.shopify.com/s/files/1/1916/9825/products/3_bc0401a8-cd04-4523-b3b1-dd3cd8a75ac8.jpg?v=1617965652,https://cdn.shopify.com/s/files/1/1916/9825/products/4_6d940e0c-7af1-4e15-9765-f55bb6af4f4f.jpg?v=1617965652,https://cdn.shopify.com/s/files/1/1916/9825/products/5_be5fef88-a5eb-417d-b202-8616c4e52c5e.jpg?v=1617965652,,,,,,,
