,MRP,product code,product name,WEIGHT,Cost per item,ship,DISCOUNT,selling rate,GST,selling rate excl gst
"Beauty, Health & Personal Care",1618,0401,0401 Magic Massager Pain Relief & Fat Reduction Joint with 7 attachment,1000,809,84,20,1294,18,1097
"Beauty, Health & Personal Care",305,0402,0402 Plastic Reusable Anti Stress Cooling Gel Face Mask with Strap-on Velcro (Green),352,61,42,0,305,18,258
"Beauty, Health & Personal Care",852,0404,0404 Flawless Body Total Body Hair Remover,205.8,242,42,30,596,18,505
"Beauty, Health & Personal Care",496,0503,0503 Silicone Moisturizing Feet Socks Gel (1 pair),364,109,42,20,397,18,336
"Beauty, Health & Personal Care",432,0530,0530 Professional Ceramic Plate Hair Styler Straightener,222,108,42,15,367,18,311
"Beauty, Health & Personal Care",499,1183,1183 Portable Rechargeable Wearable Strong Airflow Quiet Operation Hanging Neck Fan,397,197,42,5,474,18,402
"Beauty, Health & Personal Care",599,1207,1207 Fast Hair Straightener Brush with Temperature Control Men & Women,485,279,42,5,569,18,482
"Beauty, Health & Personal Care",499,1221,1221 Dolphin Handheld Body Massager to Aid Pain and Stress,321,175,42,10,449,18,381
"Beauty, Health & Personal Care",1299,1261,1261 Facial Handheld Portable Steamer for Face,144,389,42,40,779,18,661
"Beauty, Health & Personal Care",299,1302,1302 Silicone Body Back Scrubber Double Side Bathing Brush for Skin Deep Cleaning,220,48,42,5,284,18,241
"Beauty, Health & Personal Care",999,1305,1305 Double Edge Shaving Razor Blade (Pack of 48),300,340,42,30,699,18,593
"Beauty, Health & Personal Care",699,1337,1337 Professional Stylish Hair Dryers For Women And Men (Hot And Cold Dryer),1045,229,126,10,629,18,533
"Beauty, Health & Personal Care",349,1351,1351 Heart Shape Women's Underwear Case Travel Portable Storage Bag Box,443,97,42,0,349,18,296
"Beauty, Health & Personal Care",499,1361,1361 Hair Straightener Hair Straightening Comb Brush,180,198,42,5,474,18,402
"Beauty, Health & Personal Care",499,1400,1400 Premium 3 in 1 Vaporiser steamer for cough and cold,400,145,42,15,424,18,359
"Beauty, Health & Personal Care",499,1414,"1414 Rechargeable, Cordless Beard and Hair Trimmer For Men",247,160,42,10,449,18,381
"Beauty, Health & Personal Care",599,1437,1437 NS-216 rechargeable cordless hair and beard trimmer for men's,230,179,42,20,479,18,406
"Beauty, Health & Personal Care",899,2124,2124 Jewellery Jewel Boxes Storage Box Organizer Gift Box for Women Necklace Earring Set Bangles Churi Gift for Women,1545,369,168,5,854,18,724
Chocolate,440,0041,0041 Chocolate almonds (96 GMs),200,127,42,15,374,18,317
Chocolate,436,0042,0042 Chocolate Roasted Cashew (96 Gms),200,127,42,10,392,18,333
Chocolate,470,0045,0045 Effete Almonds Chocolate  (96 Gms),200,127,42,15,400,18,339
Chocolate,495,0046,0046 Effete Hazelnuts Chocolate (96 Gms),190,146,42,15,421,18,357
Chocolate,310,0047,0047 Effete Peanut Chocolate (96 Gms),200,79,42,0,310,18,263
Chocolate,400,1006,1006 Effete Choco Coated Cranberry - 96 gms,314,89,42,15,340,18,288
Cleaning Supplies,792,0220,0220 Sweeper Floor Dust Cleaning Mop Broom with Dustpan 360 Rotary,1642,248,168,10,713,18,604
Cleaning Supplies,600,0707,0708 Lombard Soft Side Cabin Luggage Black 20 Inch Trolley Bag Briefcase,139,85,42,35,390,18,331
Cleaning Supplies,999,0802,0802 Cleaning 360 Degree Healthy Spray Mop with Removable Washable Cleaning Pad,1542,375,168,15,849,18,720
