Handle,Titl,e,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,DeoDap International Private Limited
sku-2601_3pc_ss_grater_basket,2601,3 in 1 Kitchen Multipurpose Julienne Grater Salad Maker,Default Title,,,,,2601_3PC_SS_Grater_Basket,,,0
7613-poly-carbonate-chocolate-bar-moulds-pc-mould-clear-hard-candy-mould-1,7613,Poly Carbonate Chocolate Bar Moulds PC Mould Clear Hard Candy Mould,Default Title,,,,,7613_6Cavity_CM_01,,,74
8039_ufo_frisbee_ball,8039,Football Flat Throw Disc - with 3 LED Light Flying Toys,Default Title,,,,,8039_UFO_Frisbee_Ball,,,51
1768-colorfull-garden-tool-set-set-of-3pc,1768,Colorfull Garden Tool Set Set of 3Pc,Default Title,,,,,1768_3Pc_Color_G_Tool,,,241
6031-3d-rechargeable-moon-lamp-with-touch-control-adjust-brightness,6031,3D  Moon Lamp With Batttery Operated (3 cell Included),Default Title,,,,,6031_3D_Mini_Moon_Lamp,,,593
4726-hanging-plastic-kitchen-trash-can-bag-holder,4726,Hanging Plastic Kitchen Trash Can Bag Holder,Default Title,,,,,4726_Unique_G_B_Holder,,,0
1766-self-adhesive-furniture-pads-square-1,1766,Self Adhesive Furniture Pads - Square,Default Title,,,,,1766_18Pc_Furniture_Pads,,,0
7253-hot-water-bottle-bag-for-pain-relief,7253,Hot Water Bottle Bag For Pain Relief,Default Title,,,,,7253_HWB_17,,,13851
6029-spiral-charger-spring-cable-protector-data-cable-saver,6029,Spiral Charger Spring Cable Protector Data Cable Saver,Default Title,,,,,6029_4Pc_Spiral_Cab_Protector,,,1356
6030-shower-cap-bath-shower-cap-women-reusable-waterproof-women-shower,6030,"Shower Cap Bath Shower Cap ,Women Reusable Waterproof Women Shower",Default Title,,,,,6030_3Pc_Shower_Cap,,,732
2599-oil-absorbing-sheets-cooking-paper,2599,Oil Absorbing Sheets Cooking Paper,Default Title,,,,,2599_50Pc_Oil_Absorbing_Paper,,,96
7315_mch_09-1,7315,Car Mobile Holder for AC Vent,Default Title,,,,,7315_MCH_09,,,0
8037-plastic-fruits-n-veggies-exclusive-collection-of-realistic-sliceable-fruits,8037,Plastic Fruits N Veggies Exclusive Collection of Realistic Sliceable Fruits,Default Title,,,,,8037_8Pc_Sliceable_Fruit_Toy,,,31
7306-car-mobile-holder-for-anti-slip-black-1,7306,Car Mobile Holder for Anti-slip  (Black),Default Title,,,,,7306_MCH_01,,,0
6028-mobile-phone-stand-and-holder-for-online-classes-table-bed-1,6028,Mobile Phone Stand and Holder for Online Classes Table Bed,Default Title,,,,,6028_Mob_Holder_WS_811,,,0
7250-fancy-small-golden-jhoomer-for-home-decoration,7250,Fancy Small Golden Jhoomer For Home Decoration,Default Title,,,,,7250_Fancy_S_G_Jhoomer,,,0
7251-fancy-large-golden-jhoomer-for-home-decoration,7251,Fancy Large Golden Jhoomer For Home Decoration,Default Title,,,,,7251_Fancy_L_G_Jhoomer,,,0
6026-multi-function-sewing-set-sewing-kit-for-home-tailoring-1,6026,Multi function Sewing Set Sewing kit for Home Tailoring,Default Title,,,,,6026_34Pc_Home_Sewing_Kit,,,0
8038-72pcs-blocks-house-multi-color-building-blocks-with-smooth-rounded-edges-1,8038,Blocks House Multi Color Building Blocks with Smooth Rounded Edges (110Pc Set),Default Title,,,,,8038_110Pc_Building_Block,,,163
7248-velvet-hot-water-heating-bag-for-pain-relief,7248,Velvet Hot Water Heating Bag For Pain Relief,Default Title,,,,,7248_Velvet_S_HWB_14,,,0
7249-personal-care-rubber-hot-water-heating-pad-bag-for-pain-relief,7249,Personal Care Rubber Hot Water Heating Pad Bag for Pain Relief,Default Title,,,,,7249_Velvet_L_HWB_15,,,7953
7308-car-mount-air-vent-holder,7308,Car Mount Air Vent Holder,Default Title,,,,,7308_MCH_03,,,1088
7254-personal-care-rubber-hot-water-heating-pad-bag-for-pain-relief,7254,Personal Care Rubber Hot Water Heating Pad Bag for Pain Relief,Default Title,,,,,7254_Print_HWB_18,,,8717
6025-air-conditioning-dust-cover-waterproof-folding-ac-cover,6025,Air Conditioning Dust Cover Waterproof Folding Ac Cover (1Tone Size),Default Title,,,,,6025_AC_Dust_Cover,,,149
1763-kitchen-bathroom-soaps-storage-rack-with-2-hook-for-home,1763,Kitchen Bathroom Soaps Storage Rack with 2 Hook for Home,Default Title,,,,,1763_2_Layer_SS_Soap_Rack,,,0
7252_minty_hwb_16,7252,Hot Water Bottle Bag For Pain Relief,Default Title,,,,,7252_Minty_HWB_16,,,645
2598-multipurpose-3-in1-stainless-steel-grater-and-slicer-1,2598,Multipurpose 3 in1 Stainless Steel Grater and Slicer,Default Title,,,,,2598_3in1_Handle_SS_Slicer,,,321
1491-8-in-1-apple-shape-manicure-set-1,1491,8 in 1 Apple Shape Manicure Set,Default Title,,,,,1491_8Pc_Apple_Nail_Art_Set,,,0
6027,6027,Black Beard Apron Hair Clippings Catcher Grooming Bib,Default Title,,,,,6027_Blk_Shaving_Beard_Apron,,,396
7316_mch_10,7316,Car-Vent Mobile Holder Easy To Hold Smartphone,Default Title,,,,,7316_MCH_10,,,382
7314_mch_08,7314,Adjustable Phone Mount Holder For Car,Default Title,,,,,7314_MCH_08,,,0
6023-2016-3v-lithium-button-cell-battery-retail-pack-1,6023,3V 2016 Lithium Button Cell Battery Retail Pack Of 25Pcs,Default Title,,,,,6023_25Pc_3V_CR2016_Cell,,,120
1761-self-adhesive-cable-clips-wire-manage-holder-sticky-mount-round-plastic-cable-cord-1,1761,Self Adhesive Cable Clips Wire Manage Holder Sticky Mount-Round Plastic Cable Cord,Default Title,,,,,1761_20Pc_Cable_Clips_B006,,,600
1764-multipurpose-wall-mount-metal-bathroom-shelf-and-rack-for-home-and-kitchen,1764,Multipurpose Wall Mount Metal Bathroom Shelf and Rack for Home and Kitchen.,Default Title,,,,,1764_1_Layer_Soap_Rack,,,0
6022-computer-wired-optical-mouse,6022,Computer Wired Optical Mouse,Default Title,,,,,6022_D_Computer_Mouse,,,312
2515-mini-electric-stainless-steel-multifunction-smash-machine,2515,Mini Electric Stainless Steel Multifunction Smash Machine,Default Title,,,,,2515_Mini_Electric_Grinder,,,174
2594-plastic-scrubber-round-nylon-scrubbers,2594,Plastic Scrubber Round Nylon Scrubbers (12Pcs Set),Default Title,,,,,2594_12Pc_R_P_Scrubber,,,0
2499-food-bag-clip-seal-pour-storage-food-sealing-clip-1,2499,Food Bag Clip Seal Pour Storage Food Sealing Clip (1Pc),Default Title,,,,,2499_Fancy_Food_Clip,,,8404
6021-mens-coat-blazer-cover-foldover-breathable-garment-bag-suit-cover,6021,Men's Coat Blazer Cover Foldover Breathable Garment Bag Suit Cover,Default Title,,,,,6021_Blazer_Suit_Cover,,,0
2592-round-plastic-basin-and-plastic-mixing-bowl-set,2592,Round Plastic Basin And Plastic Mixing Bowl Set.,Default Title,,,,,2592_3Pc_Basin_Set,,,0
4723-plastic-soap-case-cover-for-bathroom-use-pack-of-12pcs,4723,Plastic Soap Case Cover for Bathroom use Pack of 12Pcs,Default Title,,,,,4723_12Pc_Portable_Soap_Case,,,0
2597_12pc_color_knife,2597,Vegetable Knife For Easily Cutting Vegetable or Fruits (Pack Of 12Pcs),Default Title,,,,,2597_12Pc_Color_Knife,,,0
2595-2in1-speedy-chopper-with-450ml-capacity-easy-to-chop-vegetable,2595,2in1 Speedy Chopper With 450ML Capacity Easy to Chop Vegetable,Default Title,,,,,2595_450ML_Speedy_Chopper,,IN,0
7247-hot-water-bottle-bag-for-pain-relief-1,7247,Hot Water Bottle Bag For Pain Relief,Default Title,,,,,7247_Print_HWB_13,,,0
2596_12pc_color_p_k_cmb,2596,Colorfull Peeler knife Combo For Home & Kitchen (Pack Of 12),Default Title,,,,,2596_12Pc_Color_P_K_Cmb,,,274
7312-gravity-car-air-vent-mobile-holder-universal-holder-black,7312,Gravity Car Air Vent Mobile Holder - Universal Holder Black,Default Title,,,,,7312_MCH_06,,,0
7307-magnetic-car-phone-holder-to-hold-your-smartphone,7307,Magnetic Car Phone Holder To Hold Your Smartphone,Default Title,,,,,7307_MCH_02,,,201
7311-car-air-vent-mobile-holder-white-color,7311,Car Air Vent Mobile Holder White color,Default Title,,,,,7311_MCH_05,,,0
1717-corner-guards-clear-corner-protectors-high-resistant-adhesive-pack-of-100,1717,Corner Guards Clear Corner Protectors High Resistant Adhesive (Pack of 100),Default Title,,,,,1717_100Pc_R_Edge_Protectors,,,170
1759-self-adhesive-kitchen-bathroom-corner-shelf-organiser-storage-rack,1759,Self-Adhesive Kitchen-Bathroom Corner Shelf Organiser Storage Rack,Default Title,,,,,1759_Bath_Corner_Shelf,,,0
1283-fabric-sticky-shoe-back-heel-insoles-protector-liner,1283,Fabric Sticky Shoe Back Heel Insoles Protector Liner,Default Title,,,,,1283_4D_Heel_Liner,,,684
1760-iron-black-coated-self-adhesive-wall-mounted-tissue-toilet-paper-holder,1760,Iron Black Coated Self Adhesive Wall Mounted Tissue/Toilet Paper Holder,Default Title,,,,,1760_Toilet_Roll_M_Holder,,,124
4719-premium-quality-table-cloth,4719,Premium Quality Table cloth,Default Title,,,,,4719_Table_Cloth_180X180CM,,,210
4717-spin-cap-safety-cover,4717,Spin Cap Safety Cover,Default Title,,,,,4717_Safety_Spin_Cap,,,1998
4720-blocks-for-kids-house-construction-building,4720,Blocks for Kids House Construction Building,Default Title,,,,,4720_88Pc_Building_Block_Set,,,480
4652-kitchen-sink-platform-sticker-bathroom-corner-tape-2meter-size,4652,Kitchen Sink Platform Sticker Bathroom Corner Tape (2Meter Size),Default Title,,,,,4652_2M_Kitchen_Tape,,,1948
4651-kitchen-sink-platform-sticker-bathroom-corner-tape-3meter-size,4651,Kitchen Sink Platform Sticker Bathroom Corner Tape (3Meter Size),Default Title,,,,,4651_3M_Kitchen_Tape,,,0
2490-stainless-steel-ice-cream-scoop-best-good-grip-ice-cream-spoon,2490,"Stainless Steel Ice Cream Scoop, Best Good Grip Ice Cream Spoon",Default Title,,,,,2490_SS_Small_Icecream_Scoop,,,337
4655-unicorn-fidget-toy-stress-relief-toys,4655,Unicorn Fidget Toy Stress Relief Toys,Default Title,,,,,4655_Unicorn_Fidget_Toy,,,0
4616-icecream-fidget-toy-stress-relief-toys,4716,Icecream Fidget Toy Stress Relief Toys,Default Title,,,,,4716_Ice_Cream_Fidget_Toy,,,0
4680-dinosaur-fidget-toy-stress-relief-toys,4680,Dinosaur Fidget Toy Stress Relief Toys,Default Title,,,,,4680_Dinosaur_Fidget_Toy,,,0
7309-hair-styling-headband-hair-hoop-hair-band-multicolour,7309,Hair Styling Headband Hair Hoop Hair Band (Multicolour),Default Title,,,,,7309_Fancy_Hair_Twister,,,0
4715a-multipurpose-sticker-wall-mounted-plastic-soap-holder-dispenser-with-box,4715,A Multipurpose Sticker Wall Mounted Plastic Soap Holder & Dispenser (With Box),Default Title,,,,,4715A_Dish_Soap_Holder_Box,,,297
7245-personal-care-rubber-hot-water-heating-pad-bag-for-pain-relief-extra-large,7245,Personal Care Rubber Hot Water Heating Pad Bag for Pain Relief ( Extra Large ),Default Title,,,,,7245_HWB_XL_11,,,309
7244-personal-care-rubber-hot-water-heating-pad-bag-for-pain-relief-large,7244,Personal Care Rubber Hot Water Heating Pad Bag for Pain Relief (Large),Default Title,,,,,7244_HWB_L_10,,,148
7243-personal-care-rubber-hot-water-heating-pad-bag-for-pain-relief-medium,7243,Personal Care Rubber Hot Water Heating Pad Bag for Pain Relief (Medium),Default Title,,,,,7243_HWB_M_09,,,5191
925_06x06_180_m1,925,Tamper Proof Courier Bags (06X06 inch) Pack of 100Pcs,Default Title,,,,,0925_06X06_180_M1,,,0
0906_12x16_180_m1,906,Tamper Proof Courier Bags (12X16 inch) Pack of 100Pcs,Default Title,,,,,0906_12X16_180_M1,,,101
0920_7_5x7_5_180_m1,920,Tamper Proof Courier Bags (7_5X7_5 inch) Pack of 100Pcs,Default Title,,,,,0920_7_5X7_5_180_M1,,,0
7242-personal-care-rubber-hot-water-heating-pad-bag-for-pain-relief-small,7242,Personal Care Rubber Hot Water Heating Pad Bag for Pain Relief (Small),Default Title,,,,,7242_HWB_S_08,,,227
7303-socks-breathable-thickened-classic-simple-soft-skin-friendly-for-kids,7303,Socks Breathable Thickened Classic Simple Soft Skin Friendly For Kids,Default Title,,,,,7303_Kids_Print_Socks,,,829
7304-socks-breathable-thickened-classic-simple-soft-skin-friendly,7304,Socks Breathable Thickened Classic Simple Soft Skin Friendly,Default Title,,,,,7304_Ladies_M_Simple_Socks,,,540
0620-plastic-rainbow-magic-color-cup-with-led-light,620,Plastic Rainbow Magic Color Cup with LED Light,Default Title,,,,,0620_350Ml_Led_Color_Cup,,,28
1236a-disposable-body-skin-hair-removal-razor-for-women-pack-of-6,1236,A Disposable Body Skin Hair Removal Razor for Women Pack of 6,Default Title,,,,,1236A_Shave_Body,,,697
1700-plastic-clothes-hanger-with-non-slip-pad,1700,Plastic Clothes Hanger with Non-Slip Pad,Default Title,,,,,1700_Hanger_Connector_Hook,,,11456
4654-adhesive-chrome-plated-metal-transparent-heavy-duty-wall-hook,4654,Adhesive Transparent Heavy Duty Wall Hook,Default Title,,,,,4654_6Pc_Flexible_Wall_Hook,,,2061
7239-transparent-personal-care-rubber-hot-water-heating-pad-bag-for-pain-relief,7239,Transparent Personal Care Rubber Hot Water Heating Pad Bag for Pain Relief (Small),Default Title,,,,,7239_HWB_Small_05,,,504
8005-multipurpose-foldable-laptop-table,8005,Multipurpose Foldable ABCD Laptop Table,Default Title,,,,,8005_Foldable_ABCD_Table,,,0
4715-multipurpose-sticker-wall-mounted-plastic-soap-holder-dispenser,4715,Multipurpose Sticker Wall Mounted Plastic Soap Holder & Dispenser,Default Title,,,,,4715_Dish_Soap_Holder,,,673
7305-socks-breathable-thickened-classic-simple-soft-skin-friendly,7305,Socks Breathable Thickened Classic Simple Soft Skin Friendly,Default Title,,,,,7305_Men_L_BLK_Socks,,,404
7302-socks-breathable-thickened-classic-simple-soft-skin-friendly,7302,Ladies Printed Socks Breathable Thickened Classic Simple Soft Skin Friendly,Default Title,,,,,7302_Ladies_L_Print_Socks,,,3251
7301-socks-breathable-thickened-classic-simple-soft-skin-friendly,7301,Socks Breathable Thickened Classic Simple Soft Skin Friendly,Default Title,,,,,7301_Men_L_Simple_Socks,,,3644
8032-archer-king-bow-arrow-set-for-kids,8032,Archer King Bow & Arrow Set For Kids,Default Title,,,,,8032_Archery_Shooting_Set,,,45
6017-multipurpose-microfiber-fan-cleaning-duster-for-quick-and-easy-cleaning,6017,Multipurpose Microfiber Fan Cleaning Duster for Quick and Easy Cleaning,Default Title,,,,,6017_SS_Adj_Fan_Cleaner,,,118
1713-super-life-refreshing-head-massager-hand-grip,1713,Super Life refreshing Head Massager Hand Grip,Default Title,,,,,1713_B15_R_Head_massager,,,738
4714,4714,Emoji Shake Car Dashboard Doll Dance for Car interior Decoration With LED Light,Default Title,,,,,4714_Emoji_LED_Doll,,,813
4713_rajwadi_toothbrush_stand,4713,"Toothbrush Stand, Toothpaste Organizer",Default Title,,,,,4713_Rajwadi_Toothbrush_Stand,,,126
6018_plastic_foot_scrubber,6018,Plastic Foot Scrubber Pedicure Foot Care,Default Title,,,,,6018_Plastic_Foot_Scrubber,,,0
4712,4712,Wall Mount Soap Case Holder,Default Title,,,,,4712_Wall_Mount_Soap_Stand,,,204
2593-plastic-serving-spoon,2593,Plastic Serving Spoon,Default Title,,,,,2593_Plastic_Serving_Spoon,,,234
1128a-covered-soap-keeping-plastic-case-for-bathroom-use,1128,A Covered Soap keeping Plastic Case for Bathroom use,Default Title,,,,,1128A_Cover_Soap_Case,,,111
2590,2590,Durable Multi Surface Plastic Dustpan With Handle,Default Title,,,,,2590_12inch_Dustpan_1Pc,,,98
4711,4711,"Fancy Fridge Top Glass Stand, Dining Table Glass Stand",Default Title,,,,,4711_Fancy_F_Glass_Stand,,,90
4710,4710,"Fridge Top Glass Stand, Dining Table Glass Stand, Plastic Glass Holder",Default Title,,,,,4710_Fridge_Glass_Stand,,,0
4709-capsule-shape-soap-case-for-bathroom-use,4709,Capsule Shape Soap Case For Bathroom Use,Default Title,,,,,4709_Capsule_Soap_Case,,,0
2589,2524,A Induction Base Hard Anodized Tadka Fry Pan Nonstick,Default Title,,,,,2524A_14inch_Fry_Pan,,,745
1130a,1130,A 3 in 1 Soap keeping Plastic Case for Bathroom use,Default Title,,,,,1130A_3In1_Soap_Case,,,132
1757-wall-hook-hanger-steel,1757,Wall Hook Hanger Steel,Default Title,,,,,1757_SS_6pin_Cloth_Hanger,,,656
1134-3-in-1-large-durable-kitchen-sink-dish-rack-drainer-washing-basket-with-tray-1,1134,3 in 1 Large Durable Kitchen Sink Dish Rack/Drainer Washing Basket with Tray,Default Title,,,,,1134_Jumbo_Drainer_Rack,,,0
1222-festival-decorative-led-yellow-tealight-candles-white-24-pcs,1222,"Festival Decorative - LED Yellow Tealight Candles (White, 24 Pcs)",Default Title,,,,,1222_White_Tealight,,,158
7238-hot-water-bottle-bag-for-pain-relief,7238,Hot Water Bottle Bag For Pain Relief,Default Title,,,,,7238_HWB_04,,,4321
7237-hot-water-bottle-bag-for-pain-relief,7237,Hot Water Bottle Bag For Pain Relief,Default Title,,,,,7237_HWB_03,,,1653
7236-hot-water-bottle-bag-for-pain-relief,7236,Hot Water Bottle Bag For Pain Relief,Default Title,,,,,7236_HWB_02,,,954
7235-apple-hot-water-bottle-bag-for-pain-relief,7235,Apple Hot Water Bottle Bag For Pain Relief,Default Title,,,,,7235_Apple_HWB_01,,,42
4708-plastic-hanging-flower-pot-and-flower-pot-with-chain,4708,Plastic Hanging Flower Pot and Flower Pot with Chain (6 Pc),Default Title,,,,,4708_6Pc_Plastic_Pot_Chain,,,0
6016-phone-neck-holder-lazy-neck-phone-mount-to-free-your-hands,6016,"Phone Neck Holder, Lazy Neck Phone Mount to Free Your Hands ( with Box)",Default Title,,,,,6016_3in1_Lazy_Neck_Stand,,,0
gaming-mobile-holder-with-inbuilt-instant-cooling-fan-and-inbuilt,7234,Gaming Mobile Holder with Inbuilt Instant Cooling Fan,Default Title,,,,,7234_Gaming_Mobile_Holder,,,0
1712,1712,Electric Octopus Claw Scalp Massager Stress Relief Therapeutic Head Scratcher,Default Title,,,,,1712_Ele_Octopus_H_massager,,,194
7233_l_2line_d_jhoomer,7233,Large Dimond Layer Golden Jhoomer For Home Decoration,Default Title,,,,,7233_L_2Line_D_Jhoomer,,,0
7232_m_2line_d_jhoomer,7232,Meadium Size Dimond Layer Golden Jhoomer For Home Decoration,Default Title,,,,,7232_M_2Line_D_Jhoomer,,,0
7231_fancy_golden_jhoomer,7231,Fancy Golden Jhoomer For Home Decoration,Default Title,,,,,7231_Fancy_Golden_Jhoomer,,,0
7230_mix_2line_dimond_jhoomer,7230,_Mix 2Line Dimond Jhoomer For Home Decor Golden Color (Mix Design),Default Title,,,,,7230_Mix_2Line_Dimond_Jhoomer,,,40
7229_mix_plain_jhoomer,7229,Mix Plain Jhoomer For Home Decor Golden Color (Mix Design),Default Title,,,,,7229_Mix_Plain_Jhoomer,,,42
6015-fairy-warm-white-clip-lights-for-photos,6015,Fairy Warm White Clip Lights for Photos ( 10Pc Clip ),Default Title,,,,,6015_2Mtr_Photos_Clip_Light,,,23
7225-hanging-lights-for-home-decoration,7225,Hanging Lights for home decoration,Default Title,,,,,7225_4Mtr_Decor_Light_S111,,,0
7507-round-nose-professional-render-plastering-trowel-smooth-trowel-14-inch,7507,"Round Nose Professional Render Plastering Trowel, Smooth Trowel 14 Inch",Default Title,,,,,7507_Round_Nose_PH2_Trowel,,,69
7227-hanging-lights-for-home-decoration-4mtr,7227,Hanging Lights for home decoration 4Mtr,Default Title,,,,,7227_4Mtr_Decor_Light_S333,,,884
7228-hanging-lights-for-home-decoration-28mtr,7228,Hanging Lights for home decoration 14Mtr,Default Title,,,,,7228_14Mtr_LED_Decor_Light,,,0
7226-hanging-lights-for-home-decoration-4mtr,7226,Hanging Lights for home decoration 4Mtr,Default Title,,,,,7226_4Mtr_Decor_Light_S222,,,280
1758-self-adhesive-wall-hook-set-for-home-kitchen-and-other-places-pack-of-9,1758,Self Adhesive Wall Hook Set for Home Kitchen and Other Places (Pack of 9),Default Title,,,,,1758_9Pc_Wall_Adhesive_Hook,,,0
1415-12-inch-lcd-writing-tablet-electronic-digital-drawing-board,1415,12 Inch LCD Writing Tablet Electronic Digital Drawing Board,Default Title,,,,,1415_12inch_LCD_Color_Tablet,,,0
6004a-candle-cup,6004,A Candle Cup with Multi Shape  (Multicolor),Default Title,,,,,6004A_12PC_Plastic_Candle_Cup,,,131
2588-3-layer-round-kitchen-trolley-basket,2588,3 layer round Kitchen Trolley Basket,Default Title,,,,,2588_3L_Round_Kitchen_Trolley,,,0
6013-shaving-razor-for-men-plastic-grip-handle,6013,Shaving Razor For Men Plastic Grip Handle,Default Title,,,,,6013_Simple_Safety_Razor,,,4939
1756-door-draft-stopper-guard-protector-for-doors-and-windows,1756,Door Draft Stopper/Guard Protector for Doors and Windows,Default Title,,,,,1756_Beige_Door_D_Guard,,,32
1710-compact-portable-digital-tyre-inflator-with-carrying-case,1710,Compact Portable Digital Tyre Inflator with Carrying Case,Default Title,,,,,1710_Smart_M8_Air_Pump,,,143
4699-broom-with-long-stainless-steel-rod-and-extendable-cobweb-cleaner-stick,4699,Broom with Long Stainless Steel Rod and Extendable Cobweb Cleaner Stick,Default Title,,,,,4699_SS_V_Fan_Ceiling_Broom,,,0
6008-shaving-razor-for-men-blade-razor-with-plastic-grip-handle-with-card-packing,6008,Shaving Razor for Men Blade Razor with Plastic Grip Handle (With Card Packing),Default Title,,,,,6008_PL_Safety_Razor_111,,,1427
1099l-plastic-multipurpose-kitchen-bathroom-shelf-wall-holder-storage-rack-loose-pack,1099,L Plastic Multipurpose Kitchen Bathroom Shelf Wall Holder Storage Rack (Loose Pack),Default Title,,,,,1099L_Corner_Shelf_Sticker,,,1142
6009-cotton-buds-for-ear-cleaning-soft-and-natural-cotton-swabs,6009,"Cotton Buds for ear cleaning, soft and natural cotton swabs",Default Title,,,,,6009_100Pc_Cotton_Swab,,,2353
6014,6014,Lantern Shape Decorative Led Lamp Set of 24pcs,Default Title,,,,,6014_24Pc_Lantern_Lamp_Chain,,,0
7223-universal-dashboard-mobile-holder-with-360-rotating-mount,7223,Universal Dashboard Mobile Holder with 360* Rotating Mount,Default Title,,,,,7223_Car_Tab_Holder_C11,,,0
6012-presents-body-and-bikini-razor-for-women,6012,Presents Body And Bikini Razor For Women,Default Title,,,,,6012_Ladies_Shaving_Razor,,,3969
0754-steel-cap-plastic-water-dumbbells-bottle,754,A Unbreakable Plastic dumbbell Shape Water Bottle,Default Title,,,,,0754A_Dumbbells_Bottle,,,0
2327l-15-in-1-stainless-steel-kitchen-press-with-different-parts-loose-packing,2327,L 15 in 1 Stainless Steel Kitchen Press with Different Parts (Loose Packing),Default Title,,,,,2327L_Lock_Kitch_Press_15Pc,,,0
0090l-kitchen-press-set-12-pcs-silver-loose-packing,90,"L Kitchen Press Set 12 pcs, Silver (Loose Packing)",Default Title,,,,,0090L_Kitchen_Press_12Pc,,,0
0659-unbreakable-magic-cup-folding-pocket-glass-for-travelling,659,L Unbreakable Magic Cup/Folding/Pocket Glass for Travelling (Loose Pack),Default Title,,,,,0659L_Traveling_Glass,,,0
2570-rotating-cake-stand-for-decoration-and-baking-28-cm,2570,Rotating Cake Stand for Decoration and Baking,Default Title,,,,,2570_Bx_White_Cake_Stand,,,238
6010-small-cotton-buds-for-ear-cleaning-soft-and-natural-cotton-swabs,6010,"Small Cotton Buds for ear cleaning, soft and natural cotton swabs (100 per pack)",Default Title,,,,,6010_100Pc_Small_Cotton_Swab,,,2307
4684-flower-shape-portable-soap-dish-holder-soap-case-3-pc,4684,Flower Shape Portable Soap Dish Holder Soap Case ( 3 Pc ),Default Title,,,,,4684_3Pc_Flower_Soap_Dish,,,0
7222-car-ac-vent-universal-dashboard-mobile-holder,7222,Car AC Vent Universal Dashboard Mobile Holder,Default Title,,,,,7222_Car_Ac_Vent_Mob_Holder,,,0
4705-pyramid-mobile-stand-with-3-different-inclined-angles,4705,Pyramid Mobile Stand with 3 Different Inclined Angles,Default Title,,,,,4705_50Pc_Pyramid_Stand,,,160
2586-plastic-vegetable-kitchen-grater-cheese-shredder-with-grip-handle,2586,Plastic Vegetable Kitchen Grater/cheese Shredder With Grip Handle,Default Title,,,,,2586_Plastic_Cheese_Grater,,,0
2407-plastic-spice-jars-dispenser-masala-rack-easy-flow-storage,2407,Plastic Spice Jars Dispenser Masala Rack Easy Flow Storage,Default Title,,,,,2407_12pc_Spice_Box,,,1439
1755-measuring-tapes-covered-with-metal-coating,1755,Measuring Tapes Covered with Metal Coating,Default Title,,,,,1755_Ace_5Mtr_Measuring_Tape,,,0
7034-round-shape-carbon-steel-non-stick-baking-tray-11-inch,7034,Round Shape Carbon Steel Non-stick Baking Tray (11 Inch),Default Title,,,,,7034_11inch_Round_B_Tray,,,0
7035-square-shape-carbon-steel-non-stick-baking-tray-15-inch,7035,Square Shape Carbon Steel Non-stick Baking Tray (15 inch),Default Title,,,,,7035_15inch_Squ_Baking_Tray,,,0
7033-square-shape-carbon-steel-non-stick-baking-tray-17-inch,7033,Square Shape Carbon Steel Non-stick Baking Tray (17 inch),Default Title,,,,,7033_17inch_Squ_Baking_Tray,,,0
2579-utility-knife-stainless-steel-blade-with-strong-grip-pack-of-13,2579,Utility Knife Stainless Steel Blade with Strong Grip (pack of 12),Default Title,,,,,2579_12Pc_SS_Curly_Knife,,,0
4700-apple-shape-mobile-holder-multi-angle-adjustable-fold-1,4700,Apple Shape Mobile Holder Multi Angle Adjustable Fold,Default Title,,,,,4700_Apple_Shape_Mob_Stand,,,439
2585,2585,Rolling Mat Silicone Baking Mat Fondant Mat Sheet Chapati,Default Title,,,,,2585_Small_Sili_Roti_Mate,,,794
7506-round-professional-render-plastering-trowel-smooth-trowel-12-inch,7506,"Round Professional Render Plastering Trowel, Smooth Trowel 12 Inch",Default Title,,,,,7506_BH2_Round_Nose_Trowel,,,183
7505-round-professional-render-plastering-trowel-smooth-trowel-13-inch,7505,"Round Professional Render Plastering Trowel, Smooth Trowel 13 Inch",Default Title,,,,,7505_BH1_Round_Nose_Trowel,,,144
2578-utility-knife-6-inch-stainless-steel-blade-with-strong-grip-1,2578,Utility Knife 6 Inch Stainless Steel Blade with Strong Grip,Default Title,,,,,2578_12Pc_SS_Plain_Knife,,,0
4704-hexagonal-shape-mobile-holder-multi-angle-adjustable-fold,4704,Hexagonal Shape Mobile Holder Multi Angle Adjustable Fold,Default Title,,,,,4704_10Pc_Hexagon_Mob_Stand,,,128
1753-mobile-stand-for-different-mobile-set-1,1753,Mobile Stand For Different Mobile Set,Default Title,,,,,1753_Mobile_Stand_TDJ_98,,,191
zig-zag-silver-storage-container-gift-set-for-kitchen-12-pcs,1754,Zig zag Silver Storage Container Gift Set For Kitchen 12 Pcs,Default Title,,,,,1754_12Pc_Storage_Container,,,0
4701-apple-shape-mobile-holder-multi-angle-adjustable-fold,4701,Mobile Holder Multi Angle Adjustable Fold (Pack Of 10 Pc),Default Title,,,,,4701_Portable_Mobile_Stand,,,105
4702-apple-shape-mobile-holder-multi-angle-adjustable-fold,4702,Apple Shape Mobile Holder Multi Angle Adjustable Fold (40 pc),Default Title,,,,,4702_Fancy_Apple_Mob_Stand,,,0
2580-airtight-kitchen-container-for-multipurpose-use,2580,Airtight Kitchen Container for Multipurpose Use 600ml,Default Title,,,,,2580_Squ_Modular_Container,,,218
