prod code,product name,,Variant Grams,Variant Price,Variant Compare At Price,Image Src,Cost per item,SHIPPING,GST,TOTAL,PAYOUT,TRAN CHRG,PROFIT,PURCHASE RATE,MRP,DISCOUNT,SELLING RATE
0486,3pcs/set Cute Umbrella Wall Mount Key Holder Wall Hook Hanger Organizer Durable Wall hooks bathroom kitchen Umbrella Wall Hook,Home Decor,100,40,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODEcopy_4e644e79-a712-4cf5-8b95-aabc6f0346da.jpg?v=1619125513,20,42,11,73,80,24,85,262,288,10,259
0751,"Plastic Whisk Mixer  for Milk,Coffee,Egg,Juice Balloon Whisk",Kitchen,197,42,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_763e6bd6-41f3-41a3-b08c-516fb5c373e9.jpg?v=1619125914,21,42,11,74,80,24,85,263,289,10,260
0355,Cosmetic Organizer -Nail Polish Lipstic stand,"Beauty, Health & Personal Care",50,42,298,https://cdn.shopify.com/s/files/1/1916/9825/products/035501.jpg?v=1626974765,21,42,11,74,80,24,85,263,289,10,260
1611,Wall Holder for Phone Charging Stand Mobile with Holder,Home Decor,296,42,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_53e776ba-1aa4-4048-9d1c-861442dd2cd5.jpg?v=1619126244,21,42,11,74,80,24,85,263,289,10,260
0675,Heat Resistant Non-Slip Oven Mitts/Gloves (1pc),Kitchen,644,44,298,https://cdn.shopify.com/s/files/1/1916/9825/products/0675.jpg?v=1613684416,22,84,19,125,80,24,93,322,354,10,318
0854,Premium Quality Stainless Steel Coconut Opener Tool/Driller with Comfortable Grip,Kitchen,122,46,298,https://cdn.shopify.com/s/files/1/1916/9825/products/300-30002_0e0fbb7b-5bb8-43f6-8878-c489a3132832.jpg?v=1608252016,23,42,12,77,80,24,97,278,306,10,275
1312,Powerful Rat/Mice Glue Trap (Peanut Butter),Repellents,180,48,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1312-1photo_dbed08ae-78f0-4e36-94c5-389e6b805696.jpg?v=1617924630,24,42,12,78,80,24,88,270,297,10,267
2119,Triangular Multi Functional Drainer Shelf Sink Storage Holder,"Kitchen Storage, Container & Rack",728,48,298,https://cdn.shopify.com/s/files/1/1916/9825/products/61MxN56RiqL._SL1500.jpg?v=1606579139,24,84,19,127,80,24,93,324,356,10,321
2148,Button Coasters Coffee Mat Pads Place Mat Holder Tea Cup Cushion,Kitchen,80,50,298,https://cdn.shopify.com/s/files/1/1916/9825/products/a6933f5e-7a60-4d3b-93a5-94ff36075ca6.jpg?v=1606579644,25,42,12,79,80,24,86,269,295,10,266
0588,Door Seal Twin Draught Draft Guard,Home Improvement,245,50,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_fdca72a9-00d9-44a9-ba23-eb94e14e934b.jpg?v=1627573857,25,42,12,79,80,24,88,271,298,10,268
1508,Multi-Purpose Heavy Duty Snap Hook Clips,Home Improvement,20,52,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SnapHookClips08.jpg?v=1606577422,26,42,12,80,80,24,86,270,297,10,267
